iter	MultiClass
798	0.5468837932
799	0.5468609453
800	0.5468039225
801	0.5467767858
802	0.5467312655
803	0.5466918991
804	0.5466616748
805	0.5466262581
806	0.5465825292
807	0.5465305557
808	0.5465059304
809	0.5464775875
810	0.5464299325
811	0.5463697681
812	0.5463137137
813	0.546267055
814	0.5462124452
815	0.546171419
816	0.546127632
817	0.5460786116
818	0.5460406065
819	0.5460167844
820	0.5459605427
821	0.5459357072
822	0.5458843624
823	0.5458352253
824	0.5457816348
825	0.5457550609
826	0.5457166649
827	0.54568639
828	0.5456519868
829	0.5456238439
830	0.5455840395
831	0.5455294731
832	0.5454815212
833	0.5454073565
834	0.5453356095
835	0.5453140964
836	0.5452742458
837	0.54524297
838	0.5452106299
839	0.5451586416
840	0.5451224676
841	0.5450913792
842	0.5450632748
843	0.5450154275
844	0.5449914942
845	0.5449597109
846	0.5449150853
847	0.5448802013
848	0.5448362943
849	0.5448060268
850	0.5447481298
851	0.5447192348
852	0.5446831624
853	0.5446448142
854	0.5446198084
855	0.5445656063
856	0.5445105226
857	0.5444645927
858	0.5444198806
859	0.5443817648
860	0.5443426774
861	0.5443054974
862	0.5442666902
863	0.544233049
864	0.5441881988
865	0.5441604948
866	0.5441259925
867	0.5440961984
868	0.544070708
869	0.5440351768
870	0.5440088208
871	0.5439852772
872	0.5439007287
873	0.5438573685
874	0.5438386912
875	0.5437847781
876	0.5437320117
877	0.5436968163
878	0.5436661103
879	0.5436312703
880	0.5435919847
881	0.543549741
882	0.5435214261
883	0.5434763127
884	0.543423848
885	0.543406195
886	0.5433591748
887	0.543311343
888	0.543273293
889	0.5432256614
890	0.543171396
891	0.5431398814
892	0.543097484
893	0.5430709563
894	0.543048544
895	0.5430105462
896	0.5429613526
897	0.5429294734
898	0.5428994623
899	0.5428498793
900	0.5428045066
901	0.5427918733
902	0.542760986
903	0.5427158962
904	0.5426828162
905	0.5426420136
906	0.5426080549
907	0.542589949
908	0.5425610179
909	0.5425166572
910	0.5424920575
911	0.5424469449
912	0.5424119709
913	0.5423895528
914	0.5423324392
915	0.5423005879
916	0.5422571501
917	0.5422272666
918	0.5421863685
919	0.5421378155
920	0.5420938795
921	0.5420615149
922	0.542034417
923	0.541989496
924	0.5419680338
925	0.5419311493
926	0.5419019114
927	0.5418629558
928	0.5418382071
929	0.541792757
930	0.5417656843
931	0.5417295879
932	0.5416894571
933	0.5416565997
934	0.5416146638
935	0.5415899942
936	0.5415600043
937	0.5415193354
938	0.54149113
939	0.5414443293
940	0.5413998446
941	0.5413613157
942	0.5413070558
943	0.5412862324
944	0.5412169301
945	0.5411939389
946	0.5411560908
947	0.5411133823
948	0.5410570118
949	0.5410044953
950	0.5409373616
951	0.5409155137
952	0.5408857801
953	0.5408641685
954	0.5408330023
955	0.5408031404
